,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
32006,51,63,300,4,1980.0,150000,108.0,4,1,823,1,False,17
32008,44,354,51395,0,2019.0,27257,170.0,5,1,3249,13,True,45
32009,4,600,17900,0,2013.0,114000,143.0,5,1,2592,11,False,16
32010,7,816,27000,0,2012.0,120000,306.0,5,0,295,19,False,29
32011,7,811,18900,0,2016.0,118000,150.0,5,1,881,54,True,0
32012,7,693,18490,0,2013.0,115000,218.0,4,0,2592,38,True,29
32014,22,766,21950,0,2019.0,102490,170.0,2,1,881,11,True,0
32015,4,89,21900,0,2016.0,86307,136.0,4,0,1577,40,True,46
32016,4,85,12300,4,2016.0,117240,95.0,5,1,881,14,True,36
32018,21,594,6990,4,2014.0,49300,77.0,5,1,2592,16,True,29
32019,11,155,15570,4,2019.0,19840,110.0,5,1,823,22,True,45
32021,33,707,22700,0,2017.0,64228,200.0,5,1,3385,34,True,1
32022,69,759,16990,0,2014.0,156337,140.0,5,0,881,15,True,0
32023,21,62,19900,4,2019.0,1,150.0,5,0,1041,9,True,6
32025,49,606,17450,0,2017.0,99756,130.0,5,1,1577,38,True,46
32026,32,386,29800,0,2015.0,142500,190.0,5,0,2592,46,True,8
32028,59,106,18900,0,2018.0,93000,150.0,5,0,881,20,True,15
32029,44,217,25500,4,2015.0,72000,211.0,4,0,1577,48,True,37
32030,51,64,9999,0,2015.0,160000,140.0,5,1,1577,18,True,29
32032,59,96,4150,0,2006.0,164151,140.0,5,0,295,13,False,7
32033,46,484,13995,4,2015.0,72000,136.0,5,1,3421,21,True,0
32035,36,634,42999,0,2016.0,98000,258.0,5,0,2908,29,True,45
32036,55,440,9300,0,2017.0,60000,75.0,4,1,3062,8,True,7
32037,11,166,2000,0,2004.0,286000,138.0,5,1,1577,4,False,3
32038,51,33,27900,0,2019.0,26000,130.0,5,0,295,23,True,31
32039,51,22,13100,4,2020.0,10,75.0,5,1,1577,54,True,45
32040,7,687,27999,4,2014.0,110000,320.0,3,0,2592,15,False,34
32041,33,200,1900,0,2003.0,250000,112.0,5,1,881,8,True,29
32043,11,149,8600,4,2017.0,35000,82.0,4,1,2592,22,True,1
32044,22,769,15500,0,2017.0,160000,105.0,4,1,881,30,True,20
32045,11,831,1500,0,1998.0,150000,70.0,5,1,3421,0,False,7
32046,33,707,12990,0,2013.0,92000,150.0,5,1,881,25,True,0
32047,67,131,8300,4,2019.0,23000,72.0,5,1,1577,5,False,7
32048,27,608,32990,4,2019.0,6000,211.0,5,0,1577,24,True,45
32049,26,864,14100,4,2020.0,10,100.0,5,1,704,32,True,49
32050,69,565,16900,0,2016.0,139000,150.0,5,1,2683,44,True,0
32051,69,577,6400,4,2013.0,57990,60.0,3,0,634,27,True,29
32053,51,59,26995,4,2020.0,6478,130.0,5,0,1577,54,True,31
32054,59,118,19000,0,2018.0,23000,115.0,5,1,3062,28,False,26
32056,33,725,16750,4,2019.0,18500,100.0,5,1,3167,16,True,27
32057,26,740,20400,4,2019.0,18314,132.0,5,1,881,3,True,29
32058,50,121,10200,0,2016.0,90000,110.0,5,1,3062,38,True,12
32059,22,593,22400,5,2020.0,0,125.0,5,1,295,20,True,31
32060,43,182,15990,4,2017.0,76000,120.0,5,1,1135,20,True,7
32061,44,221,17900,0,2011.0,128000,204.0,2,0,2592,8,True,36
32062,50,423,16400,0,2018.0,115,110.0,5,1,295,21,True,29
32063,4,597,22900,0,2016.0,86000,150.0,5,0,1577,18,True,45
32064,69,565,31900,0,2020.0,576,150.0,4,0,1577,12,True,3
32065,59,122,19500,0,2018.0,40179,115.0,5,1,1577,27,True,49
