,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
43164,TOYOTA,10500,Gasolina,2016.0,43297,99.0,5,Manual,Rojo,9,True,Madrid
43165,SMART,18900,Gasolina,2016.0,12000,102.0,3,Automático,Negro,25,True,Barcelona
43166,VOLKSWAGEN,31990,Diésel,2020.0,39200,150.0,4,Automático,Negro,31,True,Valencia
43167,VOLKSWAGEN,27800,Diésel,2010.0,213456,140.0,4,Manual,Gris / Plata,13,True,Barcelona
43168,CHEVROLET,6990,Diésel,2009.0,259666,127.0,5,Manual,Beige,18,True,Tarragona
43169,SEAT,20500,Diésel,2017.0,94901,115.0,5,Manual,Blanco,12,True,Sevilla
43170,HYUNDAI,19490,Diésel,2016.0,57000,141.0,5,Automático,Negro,37,True,Madrid
43172,HYUNDAI,29490,Gasolina,2018.0,19999,275.0,5,Manual,Azul,1,True,Barcelona
43173,MERCEDES-BENZ,12800,Diésel,2012.0,276000,170.0,2,Manual,Rojo,10,False,Madrid
43174,FORD,14990,Diésel,2018.0,45420,100.0,5,Manual,Gris / Plata,15,True,Girona
43175,MERCEDES-BENZ,34254,Diésel,2016.0,14020,194.0,4,Automático,Gris / Plata (GRIS SELENITA),15,True,Madrid
43176,DACIA,8150,Gasolina,2019.0,6492,73.0,4,Manual,Azul,10,True,Las Palmas
43177,NISSAN,21900,Gasolina,2020.0,20,140.0,5,Manual,Blanco,10,True,Barcelona
43178,PEUGEOT,28990,Eléctrico,2020.0,2,136.0,5,Automático,Gris / Plata,19,True,Cantabria
43179,OPEL,7000,Diésel,2003.0,113500,125.0,5,Manual,Azul,7,False,Ciudad Real
43180,OPEL,13800,Diésel,2016.0,40000,136.0,5,Manual,Blanco,20,True,Tarragona
43181,VOLVO,13900,Diésel,2017.0,155244,120.0,5,Automático,Blanco,34,True,Valencia
43182,MERCEDES-BENZ,10790,Gasolina,2010.0,188630,272.0,4,Automático,Negro,32,True,Madrid
43183,TOYOTA,8000,Diésel,2012.0,175000,150.0,5,Manual,Gris / Plata,15,False,Madrid
43184,VOLKSWAGEN,13000,Diésel,2014.0,94000,140.0,5,Manual,Blanco,18,False,Zaragoza
43185,TOYOTA,17900,Diésel,2020.0,19059,122.0,4,Manual,Blanco,31,True,Barcelona
43186,PORSCHE,45000,Diésel,2015.0,175000,300.0,5,Automático,Granate,10,False,Málaga
43188,PEUGEOT,4950,Diésel,2015.0,163000,75.0,3,Manual,Blanco,28,True,Valencia
43191,CITROEN,11490,Gasolina,2017.0,29100,110.0,5,Manual,Blanco,16,True,Málaga
43192,VOLKSWAGEN,11490,Gasolina,2010.0,77300,122.0,3,Manual,Negro,33,True,Madrid
43194,VOLKSWAGEN,23900,Diésel,2017.0,67000,190.0,4,Automático,Negro,22,True,Tarragona
43195,AUDI,18500,Diésel,2015.0,85000,150.0,4,Manual,Gris / Plata,12,False,Madrid
43196,VOLKSWAGEN,20990,Diésel,2017.0,129000,115.0,5,Manual,Blanco,32,True,Pontevedra
43197,BMW,19290,Diésel,2015.0,143400,190.0,4,Automático,Blanco,34,True,Zaragoza
43199,MINI,14490,Gasolina,2015.0,55000,190.0,3,Manual,Azul,31,True,Valencia
43202,BMW,53000,Híbrido enchufable,2019.0,16000,292.0,4,Automático,Blanco,26,True,A Coruña
43203,CITROEN,15100,Gasolina,2020.0,8753,110.0,5,Manual,Gris / Plata,19,True,Alicante
43204,VOLKSWAGEN,10400,Gasolina,2013.0,112250,105.0,3,Manual,Negro,22,True,Castellón
43205,KIA,16490,Diésel,2018.0,20000,115.0,5,Manual,Gris / Plata,23,True,Málaga
43207,FORD,6900,Gasolina,2006.0,190000,225.0,3,Manual,Naranja,14,True,Murcia
43208,FORD,18500,Diésel,2015.0,21000,120.0,5,Manual,Negro,6,False,Murcia
43209,FORD,4990,Diésel,2010.0,168000,110.0,5,Manual,Blanco,13,True,Pontevedra
43210,CITROEN,3800,Diésel,2004.0,205000,95.0,4,Manual,Gris / Plata,15,False,Zaragoza
43211,RENAULT,9800,Diésel,2016.0,45000,90.0,5,Manual,Blanco,14,True,Vizcaya
